ID Steves_ID ra dec x y
34925 z4_GND_5397 189.187677 62.323662 11481.539 15346.238
31292 z4_GND_43397 189.116813 62.298091 13459.072 13814.33
12148 z4_GND_35777 189.305709 62.202664 8183.508 8087.332
28208 z4_GND_9345 189.216907 62.280687 10667.419 12767.411
19135 z4_GND_23846 189.190287 62.236603 11411.896 10122.665
30522 z4_GND_7908 189.267562 62.293102 9254.171 13512.631
2607 z4_GND_255 189.274836 62.144766 9044.882 4612.626
31947 z4_GND_43019 189.2425 62.301622 9953.438 14023.542
18312 z4_GND_25061 189.085281 62.232788 14347.267 9897.888
17068 z4_GND_27344 189.170177 62.226751 11974.507 9531.992
17369 z4_GND_26894 189.356197 62.228211 6773.845 9622.374
22878 z4_GND_17387 189.185223 62.254829 11552.697 11216.306
11000 z4_GND_36731 189.225903 62.197257 10416.566 7761.623
21162 z4_GND_20338 189.377736 62.246452 6174.208 10718.085
34177 z4_GND_6178 189.221755 62.317595 10531.88 14981.905
14818 z4_GND_31162 189.191934 62.215238 11366.607 8840.755
20340 z4_GND_21782 189.115739 62.24246 13494.867 10476.542
33564 z4_GND_6899 189.235425 62.313006 10150.809 14706.53
25430 z4_GND_13091 189.288719 62.266862 8662.487 11938.676
29964 z4_GND_44255 189.220482 62.29001 10567.564 13326.812
21269 z4_GND_20153 189.187947 62.24711 11476.903 10753.137
21182 z4_GND_20302 189.334688 62.246642 7377.003 10727.136
21463 z4_GND_19835 189.294239 62.247936 8507.207 10803.29
9169 z4_GND_39167 189.236676 62.188317 10115.003 7225.206
15016 z4_GND_30836 189.127527 62.216193 13167.923 8899.966
3254 z4_GND_534 189.283712 62.149688 8796.305 4908.087
19551 z4_GND_23148 189.20338 62.238574 11045.913 10240.779
19672 z4_GND_22964 189.236881 62.2391 10109.666 10272.184
28886 z4_GND_8692 189.264057 62.284225 9351.651 12979.969
17884 z4_GND_25941 189.147686 62.230843 12602.994 9778.171
19310 z4_GND_23531 189.343526 62.237436 7129.08 10175.175
7301 z4_GND_3809 189.297294 62.178449 8417.444 6634.143
21816 z4_GND_19160 189.229456 62.249927 10317.17 10921.83
27347 z4_GND_45187 189.120618 62.276069 13355.161 12492.814
27675 z4_GND_9924 189.309445 62.27766 8084.604 12587.188
17700 z4_GND_26275 189.419727 62.229813 4998.038 9722.834
22502 z4_GND_18048 189.099351 62.252878 13951.56 11102.453
15222 z4_GND_30507 189.244089 62.217272 9907.899 8962.579
3852 z4_GND_859 189.261845 62.154374 9409.393 5188.883
18185 z4_GND_25462 189.220922 62.232257 10555.723 9861.617
31395 z4_GND_43235 189.117367 62.298254 13443.623 13824.112
26768 z4_GND_11130 189.27585 62.273157 9022.085 12316.105
30190 z4_GND_44128 189.17999 62.291403 11697.221 13410.88
13568 z4_GND_33034 189.365555 62.209509 6509.851 8500.746
26975 z4_GND_10865 189.119699 62.274161 13380.998 12378.394
